trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
121,2025-06-12T10:05:00-04:00,OKLO,BUY,BUY,1406,67.32,1.0,,
122,2025-06-12T10:15:00-04:00,OKLO,SELL,SELL,1406,66.82,1.0,-704.0,-0.7437699756119517
123,2025-06-12T10:20:00-04:00,OKLO,BUY,BUY,1395,67.35,1.0,,
124,2025-06-12T10:35:00-04:00,OKLO,SELL,SELL,1395,66.78,1.0,-796.1499999999905,-0.8473805070020682
125,2025-06-12T10:45:00-04:00,OKLO,BUY,BUY,1388,67.16,1.0,,
126,2025-06-12T11:55:00-04:00,OKLO,SELL,SELL,1388,67.26,1.0,137.80000000001183,0.1478238146096398
127,2025-06-12T12:55:00-04:00,OKLO,BUY,BUY,1386,67.34,1.0,,
128,2025-06-12T14:10:00-04:00,OKLO,SELL,SELL,1386,68.17,1.0,1149.3799999999976,1.2314666086100852
129,2025-06-13T10:35:00-04:00,OKLO,BUY,BUY,1461,64.64,1.0,,
130,2025-06-13T11:00:00-04:00,OKLO,SELL,SELL,1461,63.58,1.0,-1549.6600000000033,-1.640892994115635
131,2025-06-13T11:05:00-04:00,OKLO,BUY,BUY,1453,63.99,1.0,,
132,2025-06-13T11:10:00-04:00,OKLO,SELL,SELL,1453,63.32,1.0,-974.5100000000025,-1.0481028565000075
133,2025-06-13T11:15:00-04:00,OKLO,BUY,BUY,1444,63.75,1.0,,
134,2025-06-13T13:05:00-04:00,OKLO,SELL,SELL,1444,64.65,1.0,1298.600000000008,1.4106630746502218
135,2025-06-13T13:40:00-04:00,OKLO,BUY,BUY,1439,64.82,1.0,,
136,2025-06-13T14:15:00-04:00,OKLO,SELL,SELL,1439,64.73,1.0,-130.50999999998447,-0.13991662251499187
137,2025-06-16T09:30:00-04:00,OKLO,BUY,BUY,1271,73.28,1.0,,
138,2025-06-16T10:45:00-04:00,OKLO,SELL,SELL,1271,68.87,1.0,-5606.109999999996,-6.0190221417506615
139,2025-06-16T11:20:00-04:00,OKLO,BUY,BUY,1260,69.72,1.0,,
140,2025-06-16T11:25:00-04:00,OKLO,SELL,SELL,1260,68.53,1.0,-1500.3999999999971,-1.7079462072074294
141,2025-06-16T12:00:00-04:00,OKLO,BUY,BUY,1246,69.34,1.0,,
142,2025-06-16T12:25:00-04:00,OKLO,SELL,SELL,1246,68.02,1.0,-1645.7200000000091,-1.9047985014579039
143,2025-06-16T13:45:00-04:00,OKLO,BUY,BUY,1242,68.3,1.0,,
144,2025-06-16T14:10:00-04:00,OKLO,SELL,SELL,1242,67.67,1.0,-783.4599999999944,-0.9235691315295539
145,2025-06-16T14:20:00-04:00,OKLO,BUY,BUY,1239,67.85,1.0,,
146,2025-06-16T14:55:00-04:00,OKLO,SELL,SELL,1239,67.96,1.0,135.28999999999928,0.16093087490178898
147,2025-06-17T09:30:00-04:00,OKLO,BUY,BUY,1251,67.34,1.0,,
148,2025-06-17T09:35:00-04:00,OKLO,SELL,SELL,1251,66.47,1.0,-1089.3700000000058,-1.2931229934615671
149,2025-06-17T09:55:00-04:00,OKLO,BUY,BUY,1247,66.7,1.0,,
150,2025-06-17T10:40:00-04:00,OKLO,SELL,SELL,1247,66.32,1.0,-474.86000000001206,-0.5709105642379728
151,2025-06-17T10:45:00-04:00,OKLO,BUY,BUY,1230,67.25,1.0,,
152,2025-06-17T10:50:00-04:00,OKLO,SELL,SELL,1230,66.84,1.0,-505.2999999999958,-0.610866976553003
153,2025-06-17T14:00:00-04:00,OKLO,BUY,BUY,1315,62.54,1.0,,
154,2025-06-17T14:05:00-04:00,OKLO,SELL,SELL,1315,62.38,1.0,-211.39999999999552,-0.2570490910262575
155,2025-06-17T14:15:00-04:00,OKLO,BUY,BUY,1309,62.7,1.0,,
156,2025-06-17T15:50:00-04:00,OKLO,SELL,SELL,1309,62.65,1.0,-66.45000000000559,-0.08096223833480425
157,2025-06-18T09:35:00-04:00,OKLO,BUY,BUY,1290,63.57,1.0,,
158,2025-06-18T09:45:00-04:00,OKLO,SELL,SELL,1290,62.44,1.0,-1458.7000000000032,-1.7787657777512254
159,2025-06-18T10:25:00-04:00,OKLO,BUY,BUY,1276,63.16,1.0,,
160,2025-06-18T10:45:00-04:00,OKLO,SELL,SELL,1276,62.64,1.0,-664.519999999995,-0.8245364743112135
161,2025-06-18T10:55:00-04:00,OKLO,BUY,BUY,1269,62.99,1.0,,
162,2025-06-18T11:05:00-04:00,OKLO,SELL,SELL,1269,62.62,1.0,-470.53000000000577,-0.5886384877972022
163,2025-06-18T12:35:00-04:00,OKLO,BUY,BUY,1269,62.65,1.0,,
164,2025-06-18T12:45:00-04:00,OKLO,SELL,SELL,1269,62.31,1.0,-432.4599999999953,-0.5439485006071975
165,2025-06-18T13:40:00-04:00,OKLO,BUY,BUY,1271,62.22,1.0,,
